M,X,class,const_cls,med_w,scl,scl_pool,logprior,thr,n
W,O,Double,,1.9609,0.1402,0.2055,-1.4713,,200
W,O,Single,,0.7207,0.2482,0.2055,-0.2699,,665
W,O,Triple,,1.9976,0.0835,0.2055,-4.9779,,6
W,O,thr,,,,0.2055,,1.59193|inf,871
W,P,const,0,,,,,,900
W,S,Double,,1.8609,0.0050,0.3023,-1.9271,,115
W,S,Single,,0.8052,0.3171,0.3023,-0.1588,,674
W,S,thr,,,,0.3023,,1.8608|inf,790
W,Se,Double,,1.8383,0.4560,0.1709,-2.0149,,12
W,Se,Single,,0.8310,0.1640,0.1709,-0.1431,,78
W,Se,thr,,,,0.1709,,1.20765|inf,90
W,Si,const,0,,,,,,31
W,Te,const,0,,,,,,19
Y,Br,const,0,,,,,,5
Y,C,const,0,,,,,,120
Y,Cl,const,0,,,,,,117
Y,F,const,0,,,,,,9
Y,H,const,0,,,,,,36
Y,I,const,0,,,,,,32
Y,N,const,0,,,,,,910
Y,O,const,0,,,,,,980
Y,P,const,0,,,,,,22
Y,S,const,0,,,,,,22
Zn,As,const,0,,,,,,8
Zn,Br,const,0,,,,,,160
Zn,C,Double,,0.4640,0.0485,0.0467,-3.8224,,7
Zn,C,Single,,0.7410,0.0467,0.0467,-0.0221,,313
Zn,C,thr,,,,0.0467,,inf|inf,320
Zn,Cl,const,0,,,,,,675
Zn,F,const,0,,,,,,5
Zn,H,const,0,,,,,,12
Zn,I,const,0,,,,,,117
Zn,N,const,0,,,,,,1763
Zn,O,const,0,,,,,,1652
Zn,P,const,0,,,,,,18
Zn,S,const,0,,,,,,312
Zn,Se,const,0,,,,,,31
Zr,As,const,0,,,,,,14
Zr,Br,const,0,,,,,,33
Zr,C,Double,,0.6029,0.3195,0.1129,-4.0146,,5
Zr,C,Single,,0.7233,0.1123,0.1129,-0.0182,,272
Zr,C,thr,,,,0.1129,,1.3945|inf,277
Zr,Cl,const,0,,,,,,659
Zr,F,const,0,,,,,,152
Zr,H,const,0,,,,,,140
Zr,I,const,0,,,,,,22
Zr,N,const,0,,,,,,367
Zr,O,const,0,,,,,,364
Zr,P,const,0,,,,,,144
Zr,S,const,0,,,,,,74
Zr,Se,const,0,,,,,,6
Zr,Te,const,0,,,,,,15
*,*,fallback,0,,,,,,158048
