M,X,class,const_cls,med_w,scl,logprior,n
Re,S,Single,,0.6007,0.2114,-0.0106,749
Re,Se,const,0,,,,62
Re,Si,const,0,,,,5
Re,Te,const,0,,,,7
Rh,As,const,0,,,,12
Rh,Br,const,0,,,,107
Rh,C,Double,,0.8781,0.1314,-3.0053,52
Rh,C,Single,,0.8731,0.4031,-0.0518,997
Rh,Cl,const,0,,,,1211
Rh,H,const,0,,,,174
Rh,I,const,0,,,,148
Rh,N,const,0,,,,782
Rh,O,const,0,,,,1471
Rh,P,Single,,0.9121,0.0709,-0.0010,954
Rh,S,const,0,,,,416
Rh,Se,const,0,,,,27
Rh,Si,const,0,,,,30
Rh,Te,const,0,,,,5
Ru,As,const,0,,,,35
Ru,Br,const,0,,,,120
Ru,C,Double,,1.5431,0.1480,-2.0042,326
Ru,C,Single,,1.2050,0.2864,-0.1495,2083
Ru,C,Triple,,2.3762,0.2919,-5.4885,10
Ru,Cl,const,0,,,,1671
Ru,H,const,0,,,,447
Ru,I,const,0,,,,99
Ru,N,Double,,1.6769,0.1124,-4.7753,11
Ru,N,Single,,0.6383,0.1072,-0.0147,1285
Ru,N,Triple,,2.7450,0.0749,-5.0938,8
Ru,O,Double,,1.8991,0.1070,-3.7869,17
Ru,O,Single,,0.5084,0.1494,-0.0229,733
Ru,P,Single,,0.9245,0.1057,-0.0010,989
Ru,S,Single,,0.7072,0.1511,-0.0061,649
Ru,Se,const,0,,,,53
Ru,Si,const,0,,,,58
Ru,Te,const,0,,,,30
Sc,C,Single,,0.7247,0.1273,-0.0165,60
Sc,Cl,const,0,,,,79
Sc,H,const,0,,,,16
Sc,I,const,0,,,,15
Sc,N,Single,,0.3706,0.1244,-0.0073,137
Sc,O,const,0,,,,141
Sc,S,const,0,,,,6
Sn,As,const,0,,,,14
Sn,Br,const,0,,,,66
Sn,C,Double,,0.4071,0.1570,-5.5199,5
Sn,C,Single,,0.6397,0.0979,-0.0040,1243
Sn,Cl,const,0,,,,346
Sn,F,const,0,,,,21
Sn,H,const,0,,,,5
Sn,I,const,0,,,,29
Sn,N,const,0,,,,437
Sn,O,const,0,,,,922
Sn,P,const,0,,,,45
Sn,S,Single,,0.5604,0.2145,-0.0034,297
Sn,Se,Single,,0.6426,0.1586,-0.0238,166
Sn,Si,const,0,,,,35
Sn,Te,const,0,,,,21
Ta,Br,const,0,,,,43
Ta,C,Double,,1.5385,0.2733,-2.5965,12
Ta,C,Single,,0.8332,0.0722,-0.0775,149
Ta,Cl,const,0,,,,478
Ta,F,const,0,,,,152
Ta,H,const,0,,,,21
Ta,N,Double,,1.8914,0.2970,-2.0680,33
Ta,N,Single,,0.5281,0.2108,-0.1573,223
Ta,N,Triple,,2.1004,0.0657,-3.9551,5
Ta,O,Single,,0.8553,0.1286,-0.0067,148
Ta,P,Single,,0.5575,0.0740,-0.0075,132
Ta,S,Double,,2.1633,0.0191,-2.5759,7
Ta,S,Single,,0.5153,0.1821,-0.0791,85
Ti,As,const,0,,,,8
Ti,Br,const,0,,,,67
Ti,C,Double,,0.8184,0.1401,-3.8359,6
Ti,C,Single,,0.8478,0.1131,-0.0218,272
Ti,Cl,const,0,,,,1426
Ti,F,const,0,,,,297
Ti,H,const,0,,,,58
Ti,I,const,0,,,,25
Ti,N,Double,,1.5553,0.5819,-3.6431,19
Ti,N,Single,,0.5152,0.1855,-0.0308,704
Ti,O,Single,,0.6422,0.3136,-0.0027,1093
Ti,P,const,0,,,,110
Ti,S,Single,,0.8799,0.2384,-0.0089,223
Ti,Se,const,0,,,,35
V,Br,const,0,,,,25
V,C,Single,,0.8241,0.0949,-0.0073,136
V,Cl,const,0,,,,344
V,F,const,0,,,,24
V,H,const,0,,,,71
V,I,const,0,,,,20
V,N,Double,,2.0204,0.1840,-3.2313,16
V,N,Single,,0.4854,0.1761,-0.0532,384
V,N,Triple,,2.3367,0.6563,-4.3944,5
V,O,Double,,2.1911,0.0983,-1.4858,239
V,O,Single,,0.6769,0.2947,-0.2578,816
V,P,Single,,0.6658,0.0381,-0.0063,159
V,S,Double,,1.6316,0.0050,-3.8395,6
V,S,Single,,0.8442,0.2409,-0.0217,273
V,Se,const,0,,,,24
V,Te,const,0,,,,8
W,As,const,0,,,,37
W,Br,const,0,,,,105
W,C,Double,,0.7918,0.0744,-3.1648,183
W,C,Single,,1.0097,0.0612,-0.0656,4059
W,C,Triple,,1.8864,0.1234,-3.8525,92
W,Cl,const,0,,,,930
W,F,const,0,,,,75
W,H,const,0,,,,118
W,I,const,0,,,,28
W,N,Double,,1.8982,0.2331,-1.9716,110
W,N,Single,,0.5252,0.1062,-0.2263,630
W,N,Triple,,1.8876,0.3042,-2.7600,50
W,O,Double,,1.9609,0.1402,-1.4713,200
W,O,Single,,0.7207,0.2482,-0.2699,665
W,O,Triple,,1.9976,0.0835,-4.9779,6
W,P,Single,,0.7443,0.0850,-0.0033,897
W,S,Double,,1.8609,0.0050,-1.9271,115
W,S,Single,,0.8052,0.3171,-0.1588,674
W,Se,Double,,1.8383,0.4560,-2.0149,12
W,Se,Single,,0.8310,0.1640,-0.1431,78
W,Si,const,0,,,,31
W,Te,const,0,,,,19
Y,Br,const,0,,,,5
Y,C,Single,,0.5671,0.0351,-0.0339,116
Y,Cl,const,0,,,,117
Y,F,const,0,,,,9
Y,H,const,0,,,,36
Y,I,const,0,,,,32
Y,N,const,0,,,,910
Y,O,const,0,,,,980
Y,P,const,0,,,,22
Y,S,const,0,,,,22
Zn,As,const,0,,,,8
Zn,Br,const,0,,,,160
Zn,C,Double,,0.4640,0.0485,-3.8224,7
Zn,C,Single,,0.7410,0.0467,-0.0221,313
Zn,Cl,const,0,,,,675
Zn,F,const,0,,,,5
Zn,H,const,0,,,,12
Zn,I,const,0,,,,117
Zn,N,Single,,0.3497,0.0769,-0.0011,1761
Zn,O,const,0,,,,1652
Zn,P,const,0,,,,18
Zn,S,Single,,0.3628,0.0657,-0.0032,311
Zn,Se,const,0,,,,31
Zr,As,const,0,,,,14
Zr,Br,const,0,,,,33
Zr,C,Double,,0.6029,0.3195,-4.0146,5
Zr,C,Single,,0.7233,0.1123,-0.0182,272
Zr,Cl,const,0,,,,659
Zr,F,const,0,,,,152
Zr,H,const,0,,,,140
Zr,I,const,0,,,,22
Zr,N,Single,,0.3786,0.1099,-0.0110,363
Zr,O,Single,,0.3988,0.1193,-0.0028,363
Zr,P,const,0,,,,144
Zr,S,const,0,,,,74
Zr,Se,const,0,,,,6
Zr,Te,const,0,,,,15
*,*,fallback,0,,,,158048
