M,X,class,const_cls,med_d,scl,scl_pool,logprior,thr,n
Ru,N,Double,,1.7114,0.0351,0.0898,-4.7753,,11
Ru,N,Single,,2.0549,0.0906,0.0898,-0.0147,,1285
Ru,N,Triple,,1.6463,0.0050,0.0898,-5.0938,,8
Ru,N,thr,,,,0.0898,,1.64708|1.64708,1304
Ru,O,Double,,1.5961,0.0117,0.1031,-3.7869,,17
Ru,O,Single,,2.1512,0.1053,0.1031,-0.0229,,733
Ru,O,thr,,,,0.1031,,1.72099|-inf,750
Ru,P,const,0,,,,,,990
Ru,S,const,0,,,,,,653
Ru,Se,const,0,,,,,,53
Ru,Si,const,0,,,,,,58
Ru,Te,const,0,,,,,,30
Sc,C,const,0,,,,,,61
Sc,Cl,const,0,,,,,,79
Sc,H,const,0,,,,,,16
Sc,I,const,0,,,,,,15
Sc,N,const,0,,,,,,138
Sc,O,const,0,,,,,,141
Sc,S,const,0,,,,,,6
Sn,As,const,0,,,,,,14
Sn,Br,const,0,,,,,,66
Sn,C,Double,,2.2361,0.0050,0.0587,-5.5199,,5
Sn,C,Single,,2.2385,0.0588,0.0587,-0.0040,,1243
Sn,C,thr,,,,0.0587,,-inf|-inf,1248
Sn,Cl,const,0,,,,,,346
Sn,F,const,0,,,,,,21
Sn,H,const,0,,,,,,5
Sn,I,const,0,,,,,,29
Sn,N,const,0,,,,,,437
Sn,O,const,0,,,,,,922
Sn,P,const,0,,,,,,45
Sn,S,const,0,,,,,,298
Sn,Se,const,0,,,,,,170
Sn,Si,const,0,,,,,,35
Sn,Te,const,0,,,,,,21
Ta,Br,const,0,,,,,,43
Ta,C,Double,,2.0378,0.0203,0.0484,-2.5965,,12
Ta,C,Single,,2.2973,0.0549,0.0484,-0.0775,,149
Ta,C,thr,,,,0.0484,,-inf|-inf,161
Ta,Cl,const,0,,,,,,478
Ta,F,const,0,,,,,,152
Ta,H,const,0,,,,,,21
Ta,N,Double,,1.8148,0.0254,0.1577,-2.0680,,33
Ta,N,Single,,2.1831,0.1938,0.1577,-0.1573,,223
Ta,N,Triple,,1.7944,0.0056,0.1577,-3.9551,,5
Ta,N,thr,,,,0.1577,,1.94002|1.79144,261
Ta,O,const,0,,,,,,149
Ta,P,const,0,,,,,,133
